AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y
7.731,2.256,-64,1.038,0.159,-48,10.539,0.081,-67,1,1
7.672,0.954,-65,1.018,0.09,-47,10.413,2.561,-70,1,1
7.613,2.785,-58,1.047,0.074,-47,9.924,0.242,-73,1,1
7.643,2.222,-63,1.018,0.174,-46,10.256,0.471,-69,1,1
7.467,1.653,-64,1.077,0.175,-47,10.413,0.126,-66,1,1
7.584,1.671,-64,1.018,0.09,-47,10.276,0.133,-65,1,1
7.789,1.269,-57,1.135,0.058,-47,10.061,0.977,-68,1,1
7.701,0.741,-63,1.038,0.174,-46,10.295,0.568,-69,1,1
7.701,0.867,-63,1.077,0.181,-47,9.944,1.114,-68,1,1
7.496,2.233,-63,0.959,0.146,-47,10.334,0.237,-67,1,1
7.525,1.052,-62,1.116,0.059,-47,10.178,0.525,-69,1,1
7.643,0.939,-63,1.038,0.174,-47,10.022,2.477,-72,1,1
7.584,0.905,-63,1.116,0.138,-46,10.178,2.3,-73,1,1
7.76,0.595,-63,1.037,0.166,-47,10.393,0.131,-70,1,1
7.525,1.241,-58,1.077,0.042,-47,10.217,0.204,-70,1,1
7.555,0.972,-63,1.018,0.075,-47,10.256,1.896,-72,1,1
7.584,0.93,-63,0.998,0.153,-47,9.944,2.427,-72,1,1
7.584,1.008,-63,1.038,0.158,-47,10.061,0.864,-69,1,1
7.613,0.911,-63,1.077,0.132,-48,9.944,0.964,-68,1,1
7.643,0.836,-63,1.047,0.125,-47,10.1,1.588,-67,1,1
7.731,1.657,-63,1.077,0.14,-47,10.022,2.449,-70,1,1
7.672,1.969,-58,1.077,0.149,-47,9.709,2.587,-72,1,1
8.473,1.372,-63,1.077,0.12,-47,17.746,0.062,-72,1,1
7.613,1.029,-62,1.135,0.15,-47,10.53,2.441,-69,1,1
7.731,1.728,-63,1.018,0.158,-47,10.374,2.225,-70,1,1
7.76,1.715,-63,1.038,0.151,-47,17.073,0.135,-74,1,1
7.672,0.945,-63,1.106,0.055,-48,17.307,0.175,-70,1,1
7.613,1.059,-62,1.047,0.177,-47,10.1,2.499,-70,1,1
7.613,0.787,-63,1.077,0.163,-47,10.335,2.405,-73,1,1
7.584,0.874,-63,0.999,0.126,-48,9.788,2.862,-73,1,1
7.848,0.92,-63,1.077,0.138,-47,10.217,1.888,-69,1,1
7.789,1.715,-64,1.018,0.131,-47,16.78,0,-76,1,1
